"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"superconductivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superconductivity</b><br>The absence of measurable electrical resistance in certain substances at temperatures close to 0 K. First discovered in 1911 in mercury, superconductivity is now known to occur in some 26 metallic elements and many compounds and alloys. The temperature below which a substance becomes superconducting is called the <i>transition temperature</i> (or <i>critical temperature</i> ). Compounds are now known that show superconductivity at liquid-nitrogen temperatures.
<br>The theoretical explanation of the phenomenon was given by John <a href=""entry://Bardeen"">Bardeen</a>, L. N. Cooper (1930&ndash; ), and J. R. Schrieffer (1931&ndash; ) in 1957 and is known as the <i>BCS theory</i> . According to this theory an electron moving through an elastic crystal lattice creates a slight distortion of the lattice as a result of Coulomb forces between the positively charged lattice and the negatively charged electron. If this distortion persists for a finite time it can affect a second passing electron. In 1956 Cooper showed that the effect of this phenomenon is for the current to be carried in superconductors not by individual electrons but by bound pairs of electrons, the <i>Cooper pairs</i> . The BCS theory is based on a <a href=""entry://wave"">wave</a> function in which all the electrons are paired. Because the total momentum of a Cooper pair is unchanged by the interaction between one of its electrons and the lattice, the flow of electrons continues indefinitely.
<br>Superconducting coils in which large currents can circulate indefinitely can be used to create powerful magnetic fields and are used for this purpose in some particle accelerators and in other devices.
<br>Superconductivity can also occur by a slightly more complicated mechanism than BCS theory in <a href=""entry://heavy-fermion system"">heavy-fermion systems</a>. In 1986, Georg Bednorz (1950&ndash; ) and Karl Müller (1927&ndash; ) found an apparently completely different type of superconductivity. This is called <i>high-temperature superconductivity</i> , since the critical temperature is very much higher than for BCS superconductors; some high-temperature superconductors have critical temperatures greater than 100 K. A typical high-temperature superconductor is YBa<sub class=""ind"">2</sub>Cu<sub class=""ind"">3</sub>O<sub class=""ind"">1&ndash;7</sub>.
<br>At the present time a theory of high-temperature superconductivity has not been established in spite of a great deal of effort, which is still going on. The BCS mechanism, and minor modifications of it, almost certainly do not apply. One model for high-temperature superconductivity uses the concept of anyons, but at present there is no evidence for this mechanism"
"supercooling","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supercooling</b><br><b>1</b> The cooling of a liquid to below its freezing point without a change from the liquid to solid state taking place. In this metastable state the particles of the liquid lose energy but do not fall into place in the lattice of the solid crystal. If the liquid is seeded with a small crystal, crystallization usually takes place and the temperature returns to the freezing point. This is a common occurrence in the atmosphere where water droplets frequently remain unfrozen at temperatures well below 0°C until disturbed, following which they rapidly freeze. The supercooled droplets, for example, rapidly freeze on passing aircraft forming ‘icing’, which can be a hazard.
<br><b>2</b> The analogous cooling of a vapour to make it supersaturated until a disturbance causes condensation to occur, as in the Wilson <a href=""entry://cloud chamber"">cloud chamber</a>."
"supercritical","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supercritical</b><br>See <a href=""entry://critical mass"">critical mass</a>; <a href=""entry://critical reaction"">critical reaction</a>; <a href=""entry://multiplication factor"">multiplication factor</a>"
"superficial expansivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superficial expansivity</b><br>See <a href=""entry://expansivity"">expansivity</a>"
"superfluidity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superfluidity</b><br>The property of liquid helium at very low temperatures that enables it to flow without friction. Both helium isotopes possess this property, but <sup class=""expo"">4</sup>He becomes superfluid at 2.172 K, whereas <sup class=""expo"">3</sup>He does not become superfluid until a temperature of 0.00093 K is reached. There is a basic connection between superfluidity and <a href=""entry://superconductivity"">superconductivity</a>, so that sometimes a superconductor is called a charged superfluid"
"supergiant","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supergiant</b><br>The largest and most luminous type of star. They are formed from the most massive stars and are therefore very rare. They lie above the giants on the <a href=""entry://Hertzsprung-Russell diagram"">Hertzsprung-Russell diagram</a>. See also <a href=""entry://stellar evolution"">stellar evolution</a>"
"supergravity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supergravity</b><br>A <a href=""entry://unified-field theory"">unified-field theory</a> for all the known fundamental interactions that involves <a href=""entry://supersymmetry"">supersymmetry</a>. Supergravity is most naturally formulated as a <a href=""entry://Kaluza-Klein theory"">Kaluza&ndash;Klein theory</a> in eleven dimensions. The theory contains particles of spin 2, spin 3/2, spin 1, spin 1/2, and spin 0. Although supersymmetry means that the infinities in the calculations are less severe than in other attempts to construct a quantum theory of gravity, it is probable that supergravity still contains infinities that cannot be removed by the process of <a href=""entry://renormalization"">renormalization</a>. It is thought by many physicists that to obtain a consistent quantum theory of gravity one has to abandon <a href=""entry://quantum field theories"">quantum field theories</a>, since they deal with point objects, and move to theories based on extended objects, such as <a href=""entry://superstring theory"">superstring theory</a> and <a href=""entry://supermembrane theory"">supermembrane theory</a>, and therefore that supergravity is not a complete theory of the fundamental interactions"
"superheavy elements","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superheavy elements</b><br>See <a href=""entry://supertransuranics"">supertransuranics</a>"
"superheterodyne receiver","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superheterodyne receiver</b><br>A widely used type of radio receiver in which the incoming radio-frequency signal is mixed with an internally generated signal from a local oscillator. The output of the mixer has a carrier frequency equal to the difference between the transmitted frequency and the locally generated frequency, still retains the transmitted modulation, and is called the <i>intermediate frequency</i> (<i>IF</i> ). The IF signal is amplified and demodulated before being passed to the audio-frequency amplifier. This system enables the IF signal to be amplified with less distortion, greater gain, better selectivity, and easier elimination of noise than can be achieved by amplifying the radio-frequency signal"
"superlattice","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>superlattice</b><br>See <a href=""entry://solid solution"">solid solution</a>"
"supermembrane theory","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supermembrane theory</b><br>A unified theory of the <a href=""entry://fundamental interactions"">fundamental interactions</a> involving <a href=""entry://supersymmetry"">supersymmetry</a>, in which the basic entities are two-dimensional extended objects (<i>supermembranes</i> ). They are thought to have about the same length scale as superstrings (see <a href=""entry://superstring theory"">superstring theory</a>), i.e. 10<sup class=""expo"">-35</sup> m. At the present time there is no experimental evidence for supermembranes"
"supernova","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supernova</b><br>An explosive brightening of a star in which the energy radiated by it increases by a factor of 10<sup class=""expo"">10</sup>. It takes several years to fade and while it lasts dominates the whole galaxy in which it lies. It is estimated that there could be a supernova explosion in the Milky Way every 30 years, although only six have actually been observed in the last 1000 years. A supernova explosion occurs when a star has burnt up all its available nuclear fuel and the core collapses catastrophically (see <a href=""entry://stellar evolution"">stellar evolution</a>). Compare <a href=""entry://nova"">nova</a>"
