e	and
emoji	emoji
emojis	emojis
eMoney	eMoney
emoticon	emoticon
Emoticons	Emoticons
empanada	empanada
empanadas	empanadas
emparelha	pairs
emparelhando	pairing
Empatou	Tied
Empilhadeiras	Forklifts
empilhador	forklift
Empilhadora	Forklift
Empilhadoras	Forklifts
Empilhadores	Forklifts
Employee	Employee
empresariais	business
empty	empty
empurrador	pusher
empurradora	pusher
emulada	emulated
EMULTIHOP	EMULTIHOP
en	en
ena	ena
enable	enable
EnableDisableSMART	EnableDisableSMART
Enabler	Enabler
encadeada	chained
encadernadas	bound
encadernadora	bookbinder
Encadernar	Bind
Encaixe	Fitting
encaminhada	forwarded
Encaminhando	Forwarding
encapContentType	encapContentType
Encapsulamento	Encapsulation
encaracolada	curly
encerrá	will close
encestar	basket
encodedby	encodedby
encoder	encoder
encodingapplication	encodingapplication
encomendadas	ordered
encomendas	orders
Encomende	Order
encontrá‑la	find her
encontrá‑lo	find it
encontrá‑los	find them
encontra‑se	is found
encontram‑se	are
Encontrar Amigos	Find Friends
Encontrar iPad	Find iPad
Encontrar iPhone	Find iPhone
encrypKeyPref	encrypKeyPref
end	end
endCollection	endCollection
EndComments	EndComments
EndDocument	EndDocument
Ended	Ended
endereçou	addressed
endian	endian
endif	endif
endinheirada	wealthy
Endpoint	Endpoint
Endros	Dills
ENE	ENE
energeticamente	energetically
EnergiaBaixa	Low Energy
energy	energy
enervado	unnerved
Enfaixadora	Bandaging machine
Enfardar	bale
Enfatizada	Emphasized
Enfatizado	Emphasized
Enfatizei	I emphasized
enfatizou	emphasized
Enfermarias	Wards
enfermeira	nurse
enfileirando	queuing
Enfoca	Focus
Enganou‑se	You were wrong
engraçada	funny
Engravers	Engravers
engrenagens	gears
enjoado	sick
enlatada	canned
ENOLINK	ENOLINK
enquadrada	framed
enquadrado	framed
ensonada	sleepy
ensonado	sleepy
enter	enter
entered	entered
Enterprise	Enterprise
Entertainers	Entertainers
Entrada‑teste	Test entry
Entreamostra	Between samples
Entreamostras	Between samples
Entrelaçamento	Interlacing
Entrust	Entrust
enum	enum
enumerado	enumerated
Enumerando	Enumerating
enuncia	enuncia
enunciadas	stated
enunciando	stating
env	env
envelopadora	envelope maker
Envelopados	Enveloped
envelope	envelope
envelopes	envelopes
enviá	send
enviá‑lo	send it
envia‑os	send them
enviar‑lhe	send you
enviar‑lhe‑emos	we will send you
envido	sent
envie‑lhes	send them
envios	shipments
enviou‑lhe	sent him
EOF	EOF
Eólico	Wind power
Eólicos	Wind power
Epact	Epact
Epactas	Epacts
EPCS	EPCS
EPL	EPL
Épocas	Epochs
eppc	eppc
EPS	EPS
Epson	Epson
epub	epub
EQ	EQ
EQUAL	EQUAL
equato	equal
Equatorial	Equatorial
equatoriana	Ecuadorian
Equestres	Equestrians
equilíbriodebrancos	whitebalance
equivalentLabels	equivalentLabels
erase	erase
EraseMetadata	EraseMetadata
eritreia	eritrea
Err	Err
errno	error
error	error
ERSA	ERSA
Eruptatem	Eruptate
Erva‑príncipe	Lemongrass
Ervas‑príncipes	Lemongrass
es	es
esbate	blur
Esbater	Blur
esbatido	blurred
Esboços	Sketches
esc	esc
Escabelos	Footstools
Escafandros	Diving suits
Escaladas	Climbing
escalador	climber
escaladora	climber
escalando	climbing
escalares	scalars
escaneada	scanned
escaneadas	scanned
escaneado	scanned
escaneados	scanned
escaneamentos	scans
Escaneando	Scanning
escaravelhos	beetles
escargô	escargot
escargot	snail
escarpada	steep
Escavadeiras	Excavators
Escher	Escher
eSCO	eSCO
escolares	schoolchildren
Escorregas	Slides
Escorregões	Slips
escTimeStamp	escTimeStamp
Escur	Dark
escureça	darken
escurecida	darkened
escurecidas	darkened
Esd	Esd
ESDH	ESDH
ESDHwith	ESDHwith
ESDHwithRC	ESDHwithRC
ESE	AND IF
ESET	ESET
Esforçamo‑nos	We strive
Esfregões	Mops
Esfregonas	Mops
Esgotou‑se	Sold out
Esgrimas	Fencing
esgrimistas	fencers
eslovaca	slovak
eslovena	Slovenian
Eslovénia	Slovenia
esp	esp
espaçada	spaced
espaçamentos	spacings
espace	space
Espacejamento	Spacing
espaciais	spatial
espaçodecor	spacedecor
Espadartes	Swordfish
Espanholismo	Spanishism
espanta‑espíritos	wind chimes
Espargos	Asparagus
esparsas	sparse
espartilhos	corsets
Espátulas	Spatulas
ESPCM	ESPCM
especially	especially
especificam	specify
especificará	will specify
especificidades	specificities
especifico	specific
especifique	specify
especifiquem	specify
Espectros	Spectra
especulando	speculating
espelha	mirrors
espelhada	mirrored
Espelhe	Mirror
esperada	expected
esperemos	let's wait
espetáculos	shows
Espinafres	Spinach
Espingardas	Shotguns
espionando	spying
espirituosa	witty
espirituosas	spirited
espirrando	sneezing
ESPN	ESPN
esporádica	sporadic
esporadicamente	sporadically
esportes	sports
esportiva	sporty
esportivas	sports
esportivos	sports
Espreguiçadeira	Lounge chair
Espreguiçadeiras	Sun loungers
Espremedores	Juicers
espresso	espresso
espumantes	sparkling wines
ESPVK	ESPVK
Esq	Left
Esquadra	Squadron
Esqueceu‑se	Forgot
Esqueci‑me	I forgot
esquerda‑direita	left-right
Esquerda‑Direita‑Superior‑Inferior	Left‑Right‑Top‑Bottom
esquiadores	skiers
esquiando	skiing
Esquilos	Squirrels
esquis	skis
Essentials	Essentials
estação‑base	base station
Estacionamentos	Parking lots
estações‑base	base stations
estâncias	resorts
Estante	Bookcase
Estantes	Shelves
estáticos	static
estatisticamente	statistically
esterlina	sterling
esterlinas	sterling
esticados	stretched
esticando‑a	stretching it
estilísticas	stylistics
estilísticos	stylistic
estilizada	stylized
Estilizar	Style
estilos	styles
Estimando	Estimating
Estimated	Estimated
estimulando	stimulating
estónia	Estonia
Estônia	Estonia
estoniana	Estonian
estónio	Estonian
estouradas	bursts
estourando	bursting
estrábicos	squint
Estragões	Tarragon
Estrangeira	Foreigner
estreladas	starred
estrelados	starred
Estrelas‑do‑mar	Starfish
estrelinhas	little stars
estruturais	structural
estruturalmente	structurally
Estuários	Estuaries
estudiosa	studious
estudiosas	scholars
Estufas	Greenhouses
estupefacta	astonished
Esys	Esys
Esytime	Esytime
eta	eta
etc	etc
ETD	ETD
eten	eten
ethernet	ethernet
etiquetadas	tagged
etiquetados	tagged
Étnica	Ethnic
eTouch	eTouch
ets	ets
EUC	EUC
EUR	EUR
euro	euro
Eurobraille	Eurobraille
Eurodance	Eurodance
europa	Europe
Europe	Europe
europeias	European
europeus	Europeans
euros	euros
EV	EV
Event	Event
events	events
eventuais	eventual
every	every
everyone	everyone
Evolution	Evolution
Ew	Ew
Ewa	Ewa
EWS	EWS
ex	ex
example	example
exc	exc
excederia	would exceed
Excel	Excel
excertos	excerpts
exchange	exchange
exclude	exclude
exec	exec
executá	execute
executá‑la	execute it
executando‑o	running it
executáveis	executables
execute	execute
Executive	Executive
Executor	Executor
exercip	exercise
exerum	exerum
ExFAT	ExFAT
exhausted	exhausted
exib	exhibit
exibirnome	displayname
Exif	Exif
ExifAux	ExifAux
exifversion	exifversion
exists	exists
exit	exit
Exp	Exp
expande‑se	expands
expandi	expanded
expandida	expanded
expandidas	expanded
expandidos	expanded
expandindo	expanding
expandiu	expanded
ExpandVolume	ExpandVolume
expd	expd
experimental	experimental
expirada	expired
expirados	expired
expire	expire
explabore	explain
explodindo	exploding
Explosões	Explosions
Expoentes	Exponents
exporta	exports
exporta‑as	export them
exportações	exports
exportada	exported
exportado	exported
exportará	will export
exportCount	exportCount
exposé	exposé
exposições	exhibitions
exposure	exposure
exposuremode	exposuremode
exposureprogram	exposureprogram
exposuretime	exposure time
Express	Express
expressão‑chave	key expression
ExpressCard	ExpressCard
expression	expression
expressions	expressions
EXR	EXR
exs	exs
ext	ext
ExtendedKeyUsage	ExtendedKeyUsage
Extendidas	Extended
eXtensible	eXtensible
ExtensionPoints	ExtensionPoints
Extensor	Extender
exterior	exterior
Extintores	Fire extinguishers
extra	extra
Extra‑estreito	Extra-narrow
Extra‑expandido	Extra-expanded
extra‑grande	extra-large
Extra‑inclinado	Extra-inclined
Extraclaro	Extra clear
Extracomprimido	Extra compressed
Extracondensado	Extracondensed
Extraestendido	Extra extended
Extraestreito	Extra-narrow
Extraexpandido	Extra expanded
Extrafina	Extra thin
extragrande	extra large
Extragrosso	Extra thick
Extrainclinado	Extra inclined
extrairá	will extract
Extralargo	Extra wide
Extraleve	Extra light
extranegrito	extra bold
Extranet	Extranet
extrapesado	extra heavy
extrapola	extrapolates
Extrapolada	Extrapolated
extrapolado	extrapolated
Extrapreto	Extra black
extras	extras
extraterrestres	aliens
extravasadas	overflowed
Extreme	Extreme
Eyjafjallajökull	Eyjafjallajökull
f	f
Fac	Face
face	face
Face ID	Face ID
facebook	facebook
Facemarks	Facemarks
facepalm	facepalm
faces	faces
facetime	facetime
facial	facial
facultou‑lhe	provided him
fada	fairy
fadas	fairies
fahrenheit	fahrenheit
FAIL	FAIL
failed	failed
Failover	Failover
failures	failures
FairPlay	FairPlay
Faístos	Faístos
Fajita	Fajita
Fajitas	Fajitas
falá	he speaks
Falafeis	Falafeis
falafel	falafel
Falafels	Falafels
falantes	speakers
falcada	falcada
falhadas	failed
Falkland	Falkland
falloff	falloff
FALSE	FALSE
Faltava	It was missing
familiar	familiar
FamilyControls	FamilyControls
familynotificationd	familynotificationd
Fanfold	Fanfold
Fang	Fang
Fans	Fans
fantasminha	little ghost
Fantoches	Puppets
Farm	Farm
Faroe	Faroe
Faroé	Faroe
Faroense	Faroese
faróis	headlights
Faroletes	Headlights
Farsi	Farsi
Fãs	Fans
fascinada	fascinated
faseada	phased
Faso	Faso
fast	fast
FastCut	FastCut
FASTSPEECH	FASTSPEECH
fatal	fatal
fatiado	sliced
fatiados	sliced
fatigada	tired
Fauna	Fauna
Faunas	Faunas
Fawkes	Fawkes
fax	fax
faxes	faxes
fazê‑lo	do it
fazendeira	farmer
FBCA	FBCA
FBI	FBI
FBProfile	FBProfile
FC	FC
FDA	FDA
FDDI	FDDI
FDERecovery	FDERecovery
FDF	FDF
FDIC	FDIC
fds	weekend
feat	feat
febUKMs	febUKMs
fechá	close
Fechá‑la	Close it
fechá‑lo	close it
fechar‑se‑á	will close
federal	federal
Federica	Federica
Fedora	Fedora
Fedoras	Fedoras
fedorenta	smelly
fedorentas	smelly
FEE	FEE
feed	feed
feedback	feedback
feeds	feeds
Feijões	Beans
Felinos	Felines
Felipe	Philip
femininas	feminine
Fender	Fender
Fenos	Hay
Ferraduras	Horseshoes
férrea	iron
férreas	railways
Ferreira	Ferreira
ferries	ferries
ferrovia	railroad
ferroviária	railway
ferroviárias	railways
ferroviários	railway workers
Ferrovias	Railways
ferry	ferry
ferryboat	ferryboat
festival	festival
Fetch	Fetch
Fetos	Fetuses
Fev	Feb
FFF	FFF
FFFFFFF	FFFFFFF
FHD	FHD
fi	fi
Fibre	Fiber
fibreconfig	fibreconfig
ficheiros	files
fidedigna	trustworthy
field	field
FIFA	FIFA
figas	figs
Figure	Figure
Figures	Figures
Fiji	Fiji
fijiana	Fijian
file	file
FileDevice	FileDevice
filename	filename
filenameN	filenameN
files	files
FileSync	FileSync
Filete	Fillet
Filevault	Filevault
FileVersion	FileVersion
filipina	Filipino
Filipinas	Philippines
Filipino	Filipino
Filipinos	Filipinos
fill	fill
Film	Film
filmagens	filming
filmando	filming
filmes	films
filters	filters
filtra	filters
filtros	filters
fim‑de‑semana	weekend
FIN	FIN
finalizá	finish
finalizadas	finished
finalizado	finished
finalizando	finishing
finalizará	will finish
finalizarem	finish
finalize	finalize
finalizou	finished
Finance	Finance
financeiras	financial
FinderPop	FinderPop
FindInputCodeTool	FindInputCodeTool
FindMyMacMessenger	FindMyMacMessenger
finita	finite
finlandesa	Finnish
Fiona	Fiona
FIPS	FIPS
Firefox	Firefox
FirePro	FirePro
firewall	firewall
firewalls	firewalls
FireWire	FireWire
FireWireKPrintf	FireWireKPrintf
firmware	firmware
first	first
FIS	FIS
fisheye	fisheye
five	five
FL	FL
flã	flan
FLAC	FLAC
Flags	Flags
flamenco	flamenco
Flamenga	Flamengo
Flamingo	Flamingo
Flamingos	Flamingos
Flâmulas	Pennants
flan	flan
Flãs	Flavors
flash	flash
FlashPix	FlashPix
Flate	Flate
flato	flatus
Flats	Flats
FLC	FLC
fletidos	flexed
Fleurons	Fleurons
Flexo	Flexo
flexões	push-ups
Flickr	Flickr
FLO	FLO
floatingGMTDate	floatingGMTDate
floatingOffset	floatingOffset
flora	flora
florações	blooms
floral	floral
floras	floras
floreadas	flourishes
floreado	flowery
floreados	flowery
Florescências	Blooms
florestais	forestry
flow	flow
Fluentes	Fluent
fluidas	fluids
flutuantes	floating
fluvial	river
FM	FM
FMS	FMS
fn	fn
fnumber	fnumber
fnúmero	fnumber
focada	focused
focado	focused
focal	focal
focaliza	focuses
focalizada	focused
focalizado	focused
Focalizando	Focusing
focallength	focal length
Focus	Focus
fofo	cute
Fogareiros	Stoves
fogaréu	bonfire
fogaréus	bonfires
foguetes	rockets
foguetões	rockets
Foi‑lhe	It was for him
Folclórica	Folklore
Folhados	Puff pastries
Folheto	Brochure
folhetos	leaflets
Folio	Folio
Folk	Folk
FollowUpUI	FollowUpUI
FOND	FOUNDATION
Fondue	Fondue
Fondues	Fondues
fones	headphones
fonéticas	phonetics
fonéticos	phonetics
fongman	fongman
Fonógrafos	Phonographs
font	font
foo	foo
food	food
Footers	Footers
for	for
forem	are
forest	forest
Forgot	Forgot
fork	fork
formal	formal
formanda	graduate
format	format
formata	format
formatada	formatted
formatador	formatter
formatados	formatted
formatando	formatting
formate	format
Formaturas	Graduations
FormatVersion	FormatVersion
Forms	Forms
formulários	forms
Fornecedores de	Suppliers of
Fortezza	Fortezza
FortiClient	FortiClient
Fortran	Fortran
Foscas	Matte
Foscos	Matte
Fósforos	Matches
Fosso	Moat
Fossos	ditches
foto	photo
fotocondutor	photoconductor
fotografada	photographed
fotografadas	photographed
fotografando	photographing
fotografia	photography
fotografias	photography s
Fotografias em iCloud	Photos in iCloud
fotográfica	photographic
fotográficos	photographic
fotogramas	frames
Fotolito	Photolithography
fotométrica	photometric
Fotopolímero	Photopolymer
fotos	photos
fototecas	photo libraries
Foundation	Foundation
four	four
Foxtrot	Foxtrot
fparada	fstop
fpgm	fpgm
FPO	FPO
fps	fps
FR	FR
fracionais	fractional
fracionárias	fractional
fragmentado	fragmented
fraldinha	skirt steak
Framboesas	Raspberries
framebuffer	framebuffer
framerate	framerate
framework	framework
Frameworks	Frameworks
Francesas	French
Francesca	Francesca
franceses	French
Francisco	Francisco
frangainhos	little chickens
Frangos	Chickens
franzida	frowning
franzindo	frowning
Fraques	Tailcoats
Frase‑passe	Passphrase
Fred	Fred
free	free
Freedom	Freedom
Freetown	Freetown
freq	freq
frequências	frequencies
Freshest	Freshest
friend	friend
Friendly	Friendly
friends	friends
Frigoríficos	Refrigerators
frisadas	curled
Frisbee	Frisbee
Frisbees	Frisbees
Frisbes	Frisbees
fritando	frying
Frituras	Fried foods
from	from
frozen	frozen
fsck	fsck
FSDisconnectLoginPlugin	FSDisconnectLoginPlugin
FSRef	FSRef
fstop	fstop
ft	ft
ftp	ftp
fts	fts
fu	fu
fuji	fuji
Fujitsu	Fujitsu
fulana	so-and-so
full	full
FullName	FullName
fumado	smoked
Funchos	Fennel
funcionalidades	features
funcionarem	work
funcionária	employee
funcionou	It worked
Fundamental	Fundamental
funeral	funeral
funerárias	funeral homes
fungo	fungus
Funk	Funk
Furadora	Drilling machine
Furgonetas	Vans
Furões	Ferrets
Fusion	Fusion
fusor	fuser
fusos	spindles
Futebóis	Footballs
Futuna	Futuna
fuzzy	fuzzy
FW	FW
Fwd	Fwd
FWSkeletonKey	FWSkeletonKey
FWVGA	FWVGA
fx	fx
ƒ	ƒ
g	g
GA	GA
gabardinas	raincoats
gabardine	gabardine
gabardines	raincoats
Gabinetes	Cabinets
gabonense	gabonese
Gadget	Gadget
Gadu	Gadu
Gadu‑Gadu	Gadu-Gadu
Gain	Gain
GAK	GAK
Galadriel	Galadriel
Galardões	Awards
galáxias	galaxies
Gales	Welsh
galesa	Welsh
Galgos	Greyhounds
Galhardetes	Pennants
Galinholas	Woodcocks
galões	gallons
Galois	Galois
galos	roosters
gamas	ranges
gamba	shrimp
gambas	prawns
Gambás	Possums
gambiana	Gambian
Gambiarra	Workaround
Gambiarras	Tinkering
game	game
Game Center	Game Center
GameCenter	GameCenter
GameCenterPlaceholderApp	GameCenterPlaceholderApp
GameKit	GameKit
Gamemode	Gamemode
gamepad	gamepad
Gamepads	Gamepads
Gameport	Gameport
games	games
gamma	gamma
Gamões	Backgammon
ganesa	ghanaian
ganga	denim
Gangorras	Seesaws
Gangsta	Gangsta
ganhá	win
GarageBand	GarageBand
Garagens	Garages
gargalhadas	laughter
gargalhando	laughing
Gárgulas	Gargoyles
garoas	drizzles
Garrafeira	Wine cellar
Garrafeiras	Wine racks
Garrafões	Bottles
gases	gases
Gasosa	Soda
Gasosas	Carbonated
gasparzinho	Casper
Gastrópodes	Gastropods
Gated	Gated
gateway	gateway
GatheringInfo	GatheringInfo
gatinho	kitten
gatinhos	kittens
Gauss	Gauss
gaussiana	gaussian
Gaussiano	Gaussian
gay	gay
gays	gays
Gazebo	Gazebo
Gazebos	Gazebos
Gb	Gb
Gbit	Gbit
GBK	GBK
GBP	GBP
Gbps	Gbps
Gears	Gears
Gee	Gee
geek	geek
GeForce	GeForce
Géiser	Geyser
Gêiseres	Geysers
Géisers	Geysers
Geladeiras	Refrigerators
Geladinho	Ice cream
Geladinhos	Ice creams
geladíssimo	freezing cold
gelados	ice cream
gelatina	gelatin
Gelatinas	Gelatin
gelato	ice cream
Geleias	Jams
Geleiras	Glaciers
Gelos	Ices
geminadas	twinned
Gemplus	Gemplus
generated	generated
generation	generation
Generic	Generic
Genéricas	Generics
gêneromusical	musical genre
Geneva	Geneva
Gengibres	Gingers
Genieo	Genieo
génios	geniuses
gênios	geniuses
Genitores	Parents
genius	genius
Gênova	Genoa
genre	genre
genser	genera
genserAcquisition	genseAcquisition
genserComsec	genseComsec
genserNations	genserNations
genserSecurityCategories	genseSecurityCategories
genserTagSetName	genseTagSetName
GeoJSON	GeoJSON
geometrias	geometries
geométrica	geometric
geometricamente	geometrically
geométricas	geometric
Geonames	Geonames
Georgetown	Georgetown
georgiana	Georgian
gerá	will generate
Gerbilo	Gerbil
Gerbilos	Gerbils
gerencia	management
gerenciada	managed
gerenciadas	managed
gerenciado	managed
gerenciadopeloapp	managedbyapp
Gerenciamentos	Managements
gerencie	manage
gerenciem	manage
Gergelins	Sesame seeds
gerida	managed
geridas	managed
gerido	managed
Germanófona	German-speaking
gestões	managements
get	get
GetControllerTime	GetControllerTime
GetDriveIdentifyData	GetDriveIdentifyData
GetDriveInquiryData	GetDriveInquiryData
GetDriveSMARTData	GetDriveSMARTData
GetDriveSMARTDataThresholds	GetDriveSMARTDataThresholds
GetDriveSMARTStatus	GetDriveSMARTStatus
GetFolderContents	GetFolderContents
GetJBODPassThroughMode	GetJBODPassThroughMode
GetSpecifiedAddressBookItems	GetSpecifiedAddressBookItems
GF	GF
ggyy	ggyy
GHz	GHz
gi	gi
GiB	GiB
giba	hump
gibibyte	gibibyte
gibibytes	comicsbytes
gibosa	gibbous
Gibraltar	Gibraltar
gibraltina	Gibraltarian
gid	gid
gidNumber	gidNumber
gif	gif
giff	giff
GIFs	GIFs
Gigabit	Gigabit
Gigabits	Gigabits
gigabyte	gigabyte
gigabytes	gigabytes
gimel	gimel
Ginásios	Gyms
ginastas	gymnasts
Ginseng	Ginseng
Ginsengs	Ginsengs
Ginsengue	Ginseng
Ginsengues	Ginseng
girada	rotated
girado	rotated
girafas	giraffes
giras	cute
girassóis	sunflowers
girly	girly
giros	spins
GL	GL
Glaciares	Glaciers
GLBT	GLBT
gleich	gleich
Gliding	Gliding
glifos	glyphs
GlimmerBlocker	GlimmerBlocker
Glims	Glims
globais	global
global	global
Globe	Globe
GlobeSet	GlobeSet
gloss	gloss
GLUT	GLUT
glyf	glyph
gm	gm
GMA	GMA
gmac	gmac
GMT	GMT
gMux	gMux
GNU	GNU
go	go
goes	goes
Goiabas	Guavas
Golem	Golem
Golens	Golems
golf	golf
golfe	golf
golfinhos	dolphins
golfistas	golfers
Gomas	Gummies
Gomo	Gomo
GongjinCheong	GongjinCheong
Gongos	Gongs
good	good
Google	Google
GoogleDNS	GoogleDNS
GOP	GOP
Gopher	Gopher
gordita	chubby
Gordon	Gordon
gorilas	gorillas
