ve	And
üstlenebilme	Ability to undertake
üstlenebilmek	be able to undertake
üstlenilebilme	undertaking
üstlenilebilmek	be able to undertake
üstlenilme	undertaking
üstlenilmek	to be undertaken
üstlenim	undertaking
üstleniş	undertaking
üstlenme	undertaking
üstlü	Top
üstsubay	field officer
üstsüz	topless
üstübeç	ceruse
üstünkörü	cursory
üstünkörülük	cursoriness
üstünleşebilme	ability to excel
üstünleşebilmek	to be superior
üstünleşme	superiority
üstünleşmek	To prevail
üstünyapım	superstructure
üstüpü	oakum
üstüpüleme	overcoating
üstüpülemek	to cover up
üstüvane	supervane
üstüvani	superficial
üstyapı	superstructure
üstyapısal	superstructural
üşenç	lazy
üşenebilme	Laziness
üşenebilmek	be lazy
üşengeç	lazy
üşengeçlik	dalliance
üşengen	lazy
üşengenlik	laziness
üşenilme	Laziness
üşenilmek	be lazy
üşeniş	Laziness
üşenme	Don't be lazy
üşenmek	be lazy
üşme	Don't be cold
üşmek	to be cold
üşniye	Ushniye
üşüme	chill
üşümek	to feel cold
üşüntü	cold
üşürme	Don't get cold
üşürmek	to catch a cold
üşüşebilme	ability to freeze
üşüşebilmek	to be able to freeze
üşüşme	onrush
üşüşmek	to swarm
üşüşüverme	Don't be cold
üşüşüvermek	to be cold
üşütebilme	ability to catch cold
üşütebilmek	to catch a cold
üşütme	catching a cold
üşütmek	catch cold
üşütücü	chilly
üşütük	batty
üşütükleşme	coldness
üşütükleşmek	become cold
üşütüklük	coldness
üşütüş	cold
üşüyebilme	ability to feel cold
üşüyebilmek	to be cold
üşüyüş	cold
ütebilme	Ability to iron
ütebilmek	to be able to iron
ütme	Ironing
ütmek	to iron
ütopi	utopia
ütopik	Utopian
ütopist	Utopian
ütopya	Utopia
ütopyacı	Utopian
ütopyacılık	utopianism
ütü	iron
ütücü	presser
ütüleme	ironing
ütülemek	to iron
ütülenebilme	ironable
ütülenebilmek	can be ironed
ütüleniş	ironing
ütülenme	ironing
ütülenmek	to be ironed
ütületme	ironing
ütületmek	to have ironed
ütüleyebilme	Ability to iron
ütüleyebilmek	be able to iron
ütüleyiverme	iron it
ütüleyivermek	iron it
ütülme	ironing
ütülmek	to be ironed
ütülü	Ironed
ütülüş	Ironing
ütüsüz	unironed
üveyik	turtledove
üveylik	stepmother
üveyme	stepmother
üveymek	stepmother
üvez	rowanberry
üyelik	membership
üzebilme	ability to be upset
üzebilmek	to be upset
üzengi	stirrup
üzengikemiği	stirrup
üzengileme	stirrup
üzengilemek	stirrup
üzengilenme	stirrup
üzengilenmek	stirrup
üzengitaşı	stirrup
üzerlik	Harmala
üzgeç	stirrup
üzgü	Sad
üzgülü	sad
üzgünbalığı	Sadfish
üzgünlük	sadness
üzgüsüz	sorry
üzlük	Sadness
üzme	Don't be sad
üzmek	to upset
üzücü	sad
üzücülük	Sadness
üzülebilme	to be sad
üzülebilmek	to be sad
üzülmek	be sad
üzülüş	sadness
üzümcü	Grape grower
üzümcülük	viniculture
üzümlü	Grape
üzümsü	grape-like
üzüm üzüm	grape grape
üzünç	Sadness
üzünçlü	sad
üzünçsüz	without sadness
üzünçsüzlük	sadnesslessness
üzüntülülük	sadness
üzüntüsüz	without sadness
üzüntüsüzlük	sadnesslessness
vaaz	sermon
vadeli	term
vadesiz	without maturity
vaftizhane	baptistery
vagon	car
vagonet	wagon
vaha	oasis
vahamet	seriousness
vahdaniyet	Unity
vahdet	Unity
vahi	wild
vahim	desperate
vahit	Unity
vahşet	savagery
vahşice	savagely
vahşileşme	wildness
vahşileşmek	go wild
vahşilik	brutality
vahvahlama	Don't be shy
vahvahlamak	to mourn
vahyolunma	revelation
vahyolunmak	to be revealed
vaizlik	chaplaincy
vajina	vagina
vakanüvislik	chronicle
vakar	dignity
vakarlı	dignified
vakarsız	unceremonious
vakayiname	chronicle
vakfe	foundation
vakfedebilme	Ability to dedicate
vakfedebilmek	to be able to dedicate
vakfedilebilme	endowment
vakfedilebilmek	to be devoted
vakfedilme	dedication
vakfedilmek	to be dedicated
vakfetme	dedication
vakfetmek	to dedicate
vakfiye	foundation charter
vâkıf	foundation
vakıfname	foundation name
vakitçe	time by time
vaklama	quack
vaklamak	quack
vaktaki	when
vaktiyle	erstwhile
vakum	vacuum
vakur	staid
vak vak	quack quack
vakvak	quack
vakvaklama	quacking
vakvaklamak	quack
vale	valet
valf	valve
valide	mother
valiz	suitcase
vallahi	I swear
valör	value
vals	waltz
vampir	vampire
vampirce	vampirish
vampirlik	vampirism
vana	valve
vanadyum	vanadium
vanadyumlu	vanadium
vandal	Vandal
vandalca	Vandal
vandalizm	vandalism
vandallık	Vandalism
vanilya	vanilla
vanilyalı	vanilla
Van kedisi	Van cat
vantilatör	fan
vantrilok	ventriloquist
vantuz	suction cup
vantuzbalığı	suckerfish
vapur	ferry
vapurcu	ferryman
vapurculuk	ferryboat
vapurdumanı	steamboatsmoke
varabilme	reachability
varabilmek	to be able to reach
varagele	Varagele
varak	Leaf
varaka	swear
varakçı	gilder
varaklama	foiling
varaklamak	to gild
varaklanma	gilding
varaklanmak	To be gilded
varaklı	Gilded
varda	There is
vardacı	Vardacı
vardakosta	Vardakosta
vardela	Vardela
vardırılış	existence
vardırılma	arrival
vardırılmak	to be reached
vardırış	arrival
vardırma	arrive
vardırmak	to arrive
vardiya	shift
vardiyacı	Shift worker
vareste	there is
vargel	reed
vargı	conclusion
varılabilme	reachability
varılabilmek	to be reached
varılma	arrival
varılmak	to be reached
varış	arrival
varışlı	varicose
varışlılık	arrival
varıverme	Don't arrive
varıvermek	arrive
varidat	income
varidatçı	income tax collector
varide	in the future
varil	barrel
vâris	arrival
varisli	varicose
variyet	Variety
variyetli	Varied
varlıkbilim	ontology
varlıkbilimci	ontologist
varlıkbilimcilik	ontology
varlıkbilimsel	ontological
varlıklılık	wealth
varlıksal	existential
varlıksız	without being
varlıksızlık	non-existence
varma	arrive
varoluş	existence
varoluşçu	existentialist
varoluşçuluk	existentialism
varoluşsal	existential
varoluşsallık	existentialism
varoş	suburb
varsağı	vagina
Varsak	If we exist
varsayabilme	to assume
varsayabilmek	to assume
varsayılabilme	presumability
varsayılabilmek	be assumed
varsayılış	assumption
varsayılma	assumed
varsayılmak	be assumed
varsayım	hypothesis
varsayımlı	hypothetical
varsayımsal	hypothetical
varsayış	assumption
varsayma	Assuming
varsaymak	assume
varsılerki	rich people
varsıllaşabilme	ability to become rich
varsıllaşabilmek	to become rich
varsıllaşıverme	becoming rich
varsıllaşıvermek	become rich
varsıllaşma	affluence
varsıllaşmak	become rich
varsıllaştırabilme	ability to enrich
varsıllaştırabilmek	to enrich
varsıllaştırılabilme	enrichment
varsıllaştırılabilmek	to be enriched
varsıllaştırılış	enrichment
varsıllaştırılma	enrichment
varsıllaştırılmak	be enriched
varsıllaştırış	enrichment
varsıllaştırma	enrichment
varsıllaştırmak	enrich
varsıllık	Wealth
varta	Varta
varyant	variant
varyasyon	variation
varyemez	varmez
varyemezleşme	variolation
varyemezleşmek	to become incompatible
varyemezlik	inconsistency
varyete	variety
varyeteci	Variety
varyos	varios
vasat	mediocre
vasati	mean
vasektomi	Vasectomy
vasıf	qualification
vasıflandırılış	qualification
vasıflandırılma	qualification
vasıflandırılmak	be qualified
vasıflandırış	qualification
vasıflandırma	qualification
vasıflandırmak	to qualify
vasıflanma	qualification
vasıflanmak	to be qualified
vasıflı	skilled
vasıfsız	unskilled
vasıfsızlık	incompetence
vasıl	at
vasıtalı	indirect
vasıtasıyla	by
vasıtasız	Directly
vasi	guardian
vâsi	guardian
vasilik	guardianship
vasistas	Transom
vasiyetname	will
vaşak	lynx
vaşington	Washington
vat	watt
vatandaş	citizen
vatandaşlık	citizenship
vatani	Homeland
vatanperver	patriot
vatanperverlik	patriotism
vatansever	patriotic
vatanseverlik	patriotism
vatansız	stateless
vatansızlık	statelessness
vatka	wadding
vatkalı	padded
vatlık	Wattage
vatman	wattman
vatoz	stingray
vaveyla	with a bang
vazalak	Vasalak
vazedilme	dispensation
vazedilmek	be given up
vazektomi	vasectomy
vazelin	vaseline
vazetme	Don't give up
vazetmek	give up
vazgeçebilme	ability to give up
vazgeçebilmek	to be able to give up
vazgeçilebilme	dispensability
vazgeçilebilmek	be dispensable
vazgeçilme	renunciation
vazgeçilmek	to be given up
vazgeçilmez	indispensable
vazgeçilmezleşme	indispensability
vazgeçilmezleşmek	become indispensable
vazgeçilmezlik	indispensability
vazgeçirebilme	dissuasion
vazgeçirebilmek	to be able to give up
vazgeçirilebilme	dispensability
vazgeçirilebilmek	be dissuaded
vazgeçirilme	discouragement
vazgeçirilmek	be discouraged
vazgeçirme	discouragement
vazgeçirmek	give up
vazgeçiş	renunciation
vazgeçiverme	don't give up
vazgeçivermek	give up
vazgeçme	Don't give up
vazgelme	don't give up
vazgelmek	give up
vazıh	Clear
vazııkanun	Vazikanun
vazıyet	situation
vazifelendirilme	assignment
vazifelendirilmek	be assigned
vazifelendirme	assignment
vazifelendirmek	to assign
vazifeli	on duty
vazifeşinas	dutiful
vaziyet	situation
vazo	vase
vazolunma	Vascularization
vazolunmak	be vaccinated
vebal	blame
vebalı	smitten with the plague
vecibe	obligation
vecih	aspect
veciz	terse
vecize	aphorism
veçhe	aspect
vedalaşabilme	Being able to say goodbye
vedalaşabilmek	to be able to say goodbye
vedalaşma	farewell
vedalaşmak	say goodbye
vedia	Vedia
vefa	fidelity
vefakâr	approved
vefat	death
vefiyat	death price
vehim	suspicion
vehimli	imaginary
vehleten	by chance
vehmetme	I don't think so
vehmetmek	To doubt
vejetalin	Vegetalin
vejetaryen	vegetarian
vejetaryenlik	vegetarianism
vekâleten	by proxy
vekâletname	power of attorney
vekilharç	steward
vekillik	proxy
vektör	vector
veladet	birth
velayet	Custody
velayetname	Custody
velespit	Velocipede
velet	brat
velev	so what
velhasıl	In short
velhasılıkelam	In short, hello
veli	guardian
veliaht	crown prince
veliahtlık	crown prince
velilik	guardianship
velinimet	benefactor
velur	velours
velutluk	prosperity
velveleci	riotous
Venezüellalı	Venezuelan
venileme	venilation
venilemek	venilize
Venüs	Venus
venüsçarığı	Venus slipper
veranda	patio
veraset	inheritance
verdirebilme	ability to give
verdirebilmek	to be able to give
verdirilme	given
verdirilmek	be given
verdiriş	giving
verdirme	Don't give
verdirmek	give
verebilme	ability to give
veredurma	Don't stop
veredurmak	to stop
verecekli	must give
verek	give
verem	tuberculosis
veremli	consumptive
verese	give it
veresi	the data
veresiye	on credit
veresiyeci	creditor
veresiyecilik	credit
verev	bias
verevine	diagonally
vergici	tax collector
vergicilik	taxation
vergileme	taxation
vergilemek	to tax
vergilendirebilme	taxability
vergilendirebilmek	be able to tax
vergilendirilebilme	taxability
vergilendirilebilmek	be taxable
vergilendiriliş	taxation
vergilendirilme	taxation
vergilendirilmek	be taxed
vergilendiriş	taxation
vergilendirme	taxation
vergilendirmek	to tax
vergisel	tax related
vergisiz	tax free
veri	data
verile	given
verilebilme	availability
verilebilmek	to be given
veriliş	given
verilme	given
verim	yield
verimkâr	productive
verimkârlık	efficiency
verimlileşebilme	productivity
verimlileşebilmek	to become productive
verimlileşme	productivity
verimlileşmek	become productive
verimlileştirebilme	efficiency
verimlileştirebilmek	to make productive
verimlileştirme	efficiency
verimlileştirmek	make productive
verimsizleşebilme	inefficiency
verimsizleşebilmek	become inefficient
verimsizleşme	inefficiency
verimsizleşmek	become inefficient
verimsizleştirebilme	inefficiency
verimsizleştirebilmek	make inefficient
verimsizleştirme	decommissioning
verimsizleştirmek	make inefficient
veriştirme	Transmission
veriştirmek	to give away
verit	data
veriverme	give away
verivermek	give away
verkaç	give and take
vermut	vermouth
vernik	varnish
vernikçi	varnisher
vernikleme	varnishing
verniklemek	varnish
verniklenme	varnishing
verniklenmek	varnish
verniye	vernier
veronika	veronica
versiyon	version
veryansın	your statement
vesaik	Documentary
vesaire	etc.
vesait	documents
vesayet	tutelage
vesika	document
vesikalı	Documentary
vesikalık	passport photo
vesikasız	without document
vesselam	inshallah
vestern	western
vestiyer	cloakroom
vestiyerci	Cloakroom attendant
vesvese	specter
vesveseli	restless
veteriner	vet
veterinerlik	veterinary medicine
vetocu	veto player
veyahut	or
vezaret	vizierate
vezin	meter
vezinli	metered
vezinsiz	meterless
vezirlik	Viziership
vezirparmağı	Queenfinger
vezne	cashier
vezneci	cashier
veznecilik	cashiering
veznedar	treasurer
veznedarlık	Treasurer
vıcık	soggy
vıcıklama	squeak
vıcıklamak	squeak
vıcırdama	creak
vıcırdamak	creak
vıcırdaşma	squeak
vıcırdaşmak	squeak
vıcırdayış	creaking
vıcırtı	squeak
vıcır vıcır	crackle crackle
vıdı vıdı	gossip gossip
vın	Whoosh
vınıltı	buzz
vınlama	zing
vınlamak	zing
vınlatma	buzz
vınlatmak	buzz
vınlayabilme	ability to whine
vınlayabilmek	be able to whine
vınlayış	whirring
vırak	Croak
vıraklama	croak
vıraklamak	croak
vırıldama	whirring
vırıldamak	whirr
vırıldanma	buzzing
vırıldanmak	whir
vırıltı	buzz
vırlama	whirring
vırlamak	whir
vırt zırt	hit and miss
vır vır	whirling
vırvırcı	rattlebrain
vırvırcılık	squabbling
vız	buzz
vızıldama	hum
vızıldamak	buzz
vızıldanış	buzzing
vızıldanma	buzz
vızıldanmak	buzz
vızıldaşmak	buzz
vızıldayış	buzzing
vızıltı	buzz
vızır vızır	buzzing
vızlama	buzz
vızlamak	buzz
vız vız	buzz buzz
vibratör	vibrator
vibriyon	Vibrio
vicahen	in person
vicdanen	in conscience
vicdani	conscientious
vicdanlılık	scrupulousness
vicdansız	unscrupulous
vicdansızca	heartless
vicdansızlık	ruffianism
vida	screw
vidala	screw it
vidalama	screwing
vidalamak	screw
vidalanabilme	screwable
vidalanabilmek	be screwed
vidalanma	screwed
vidalanmak	screwed
vidalayabilme	screwability
vidalayabilmek	be able to screw
vidalı	screwed
vidanjör	sewer truck
vidasız	Screwless
videoteyp	videotape
vido	video
vidolu	video
vidosuz	without video
Vietnamlı	Vietnamese
vikaye	wikia
vikont	viscount
vikontes	viscountess
viladi	Viladi
vilayet	province
vinç	crane
vinter	Winter
vira	heave
viraj	bend
virajlı	winding
virajsız	without bend
viraneleşme	desolation
viraneleşmek	become desolate
viranlaşabilme	desolation
viranlaşabilmek	become desolate
viranlaşma	desolation
viranlaşmak	become desolate
virgül	comma
virman	transfer
virolog	virologist
viroloji	virology
virolojik	virological
virt	Virtue
virtüoz	virtuoso
virtüozite	virtuosity
virtüozlaşma	virtuosity
virtüozlaşmak	become a virtuoso
virtüozluk	virtuosity
virüs	virus
visal	Visal
visamiral	Visadmiral
viski	whiskey
viskoz	viscous
viskozite	viscosity
vişne	cherry
vişneçürüğü	cherry rot
vişneli	cherry
vitaminli	Vitamined
vitaminsiz	Vitamin-free
vitaminsizlik	Vitamin deficiency
vitellüs	vitellus
vites	gear
vitesli	geared
vitir	Witr
vitray	stained glass
vitrin	showcase
viya	via
viyadük	viaduct
viyak	Viak
viyaklama	yip
viyaklamak	yip
viyaklatma	squeak
viyaklatmak	squeak
viyaklayış	squeak
viyola	viola
viyolacı	violist
viyolonist	cellist
viyolonsel	cello
viyolonselci	cellist
viyolonselist	violoncellist
vize	visa
vizite	visit
vizon	mink
vizör	viewfinder
vodvil	vaudeville
vokabüler	Vocabulary
vokal	vocal
vokalist	vocalist
volan	flywheel
vole	Volleyball
voleybol	volleyball
voleybolcu	volleyball player
volfram	tungsten
voli	cast
volkan	volcano
volkanik	volcanic
volkmen	Volkmen
volontarizm	Voluntarism
volta	Volta
voltaj	voltage
voltalama	Volt
voltalamak	to pace
voltalanma	Volt
voltalanmak	to stall
voltametre	voltammeter
voltamper	voltampere
voltmetre	voltmeter
voltölçer	Voltmeter
vombat	wombat
votka	vodka
voynuk	Voynuk
voyvo	Voivode
voyvoda	Voivode
voyvodalık	Voivodeship
vukuat	incident
vukuf	insight
vukuflu	vulgar
vukufsuz	Uninformed
vukufsuzluk	Lack of awareness
vurabilme	ability to hit
vurabilmek	be able to hit
vurasıya	hit hard
vurdumduymaz	impervious
vurdumduymazlaşabilme	indifference
vurdumduymazlaşabilmek	to become indifferent
vurdumduymazlaşma	indifference
vurdumduymazlaşmak	become indifferent
vurdumduymazlık	indifference
vurdurabilme	ability to shoot
vurdurabilmek	to be able to shoot
vurdurma	bump start
vurdurmak	to have hit
vurdurulma	being shot
vurdurulmak	be shot
vurgu	emphasis
vurgulama	stress
vurgulamak	emphasize
vurgulanabilme	highlightability
vurgulanabilmek	to be emphasized
vurgulanış	emphasis
vurgulanma	emphasis
vurgulanmak	be emphasized
vurgulayabilme	Ability to emphasize
vurgulayabilmek	to emphasize
vurgulayış	emphasis
vurgulu	Accented
vurgun	haul
vurguncu	profiteer
vurgunculuk	profiteering
vurgunluk	profiteering
vurgusuz	unstressed
vurtut	Hit it
vuru	hit
vuruk	dented
vurulabilme	hitability
vurulabilmek	be able to be shot
vurulma	being shot
vuruluş	Shot
vurunabilme	hitability
vurunabilmek	to be hit
vurunma	hit
vurunmak	hit
vuruntu	knock
vuruşkan	Hitman
vuruşkanlık	aggressiveness
vuruşku	hitch
vuruşabilme	ability to hit
vuruşabilmek	be able to hit
vuruşma	clash
vuruşmak	to fight
vuruşturabilme	ability to hit
vuruşturabilmek	to be able to hit
vuruşturma	Don't fight
vuruşturmak	to clash
vuruşturulma	being shot
vuruşturulmak	be shot
vuruşturuluş	being shot
vuruverme	Don't hit
vuruvermek	hit
vuslat	union
vusul	arrival
vuzuh	clarity
vuzuhlu	Clear
vuzuhsuz	unclear
vuzuhsuzluk	lack of clarity
vücutça	body
vücutlu	bodied
vükela	Vükela
vülgarizasyon	vulgarization
vülgarize	vulgarized
vürut	vurut
vüsat	Expansion
vüzera	vizera
yabalama	squatting
yabalamak	to flatter
yabanarısı	wasp
yabanarısıgiller	wasp
yabanarmudu	Wild Pear
yabanasması	clematis
yabancıl	foreign
yabancılama	alienation
yabancılamak	alienate
yabancılaşabilme	alienation
yabancılaşabilmek	to be alienated
yabancılaşma	estrangement
yabancılaşmak	become alienated
yabancılaştırma	alienation
yabancılaştırmak	alienate
yabancılık	strangeness
yabancıllık	foreignness
yabandefnesi	laurel
yabandomuzu	wild boar
yabanenginarı	Wild Artichoke
yabaneriği	Wild Plum
yabaneşeği	wild ass
yabanfesleğeni	Wild Basil
