och	and
smålägenhet	small apartment
smålögn	little lie
småmaskig	small-wormed
smånubb	little nub
smånäpen	little turnips
smånätt	wee night
småpaket	small package
småpetig	petty
småposter	small items
småprickig	speckled
småpromenader	small walks
småprylar	gadgets
småpyssla	tinker
smårandig	striped
småregna	light rain
småreparationer	minor repairs
småretas	teasing
smårolig	frivolous
småroll	minor role
smårum	small room
småsill	whitebait
småsinnad	small minded
småsinne	small minded
småskog	brushwood
småskojare	prankster
småskrak	little joke
småskrake	little joker
småskratta	giggle
småskulder	small debts
småslug	sly
småsnålhet	pettiness
småsova	little sleep
småspov	little joke
småstadsaktig	small town
småstadsatmosfär	small town atmosphere
småstadsbo	small town dweller
småstadshåla	small town den
småstadsidyll	small town idyll
småstadsliv	small town life
småstadsmentalitet	small town mentality
småstat	small state
småsten	pebble
småstuga	small cottage
småstunder	little moments
småsummor	small sums
småsupa	small soup
småsysslor	small chores
småsöt	little cute
småtjuv	petty thief
småtokig	silly
småtrevlig	petite
småtterier	trifles
småttingar	little things
småtvätt	small laundry
småutgifter	small expenses
småvadare	small waders
småvägar	small roads
småvärka	small ache
småärenden	small business
småäta	snack
småöar	small islands
smäckfull	tasty
smäckig	tasty
smädebild	mock image
smädebrev	slander letter
smädedikt	slander poem
smädeord	profanity
smädeskrift	slander
smäktan	the hunger
smällfet	bang fat
smällkall	hot as hell
smällkyss	blow kiss
smältbar	fusible
smältbarhet	digestibility
smältning	melting
smärgelpapper	emery paper
smärgelskiva	emery board
S-märke	S brand
smärtförnimmelse	pain sensation
smärtlindrande	pain relief
smärtlindring	pain relief
smöraktig	buttery
smörask	butter box
smörassiett	butter dish
smörblandning	butter mixture
smörfett	butter fat
smörgul	butter yellow
smörgåsbricka	sandwich tray
smörgåsgrill	sandwich grill
smörgåsmargarin	sandwich margarine
smörjare	lubricator
smörjkopp	grease cup
smörjning	lubrication
smörjnippel	grease nipple
smörjspruta	grease gun
smörklick	butter pat
smörkärna	butter kernel
smörstekt	butter fried
smörsås	butter sauce
snabbehandla	quick shop
snabbförbindelse	fast connection
snabbgenomgång	quick review
snabbgående	fast moving
snabbis	quickie
snabbköpskassa	supermarket checkout
snabbladdning	fast charging
snabblagad	quick fix
snabblektion	quick lesson
snabblixtsken	flash light
snabbläsa	speed reading
snabbläsning	speed reading
snabbmat	fast food
snabbmatskedja	fast food chain
snabbregulator	quick regulator
snabbseglande	fast sailing
snabbseglare	fast sailor
snabbskilsmässa	quick divorce
snabbskjutande	rapid fire
snabbskrivare	speed printer
snabbspola	fast forward
snabbspolning	fast forward
snabbsteka	quick fry
snabbsökare	quick finder
snabbte	quickly
snabbtecknare	quick draw
snabbteckning	quick draw
snabbtorkande	quick drying
snabbtrafik	rapid transit
snabbtänkthet	quick thinking
snabbverkande	fast acting
snabbvisit	quick visit
snabelsvärmare	proboscis warmer
snackis	snack ice cream
snaggad	snagged
snaggning	snagging
snapsflaska	schnapps bottle
snarfyndighet	quick find
snarfärdig	soon ready
snarlikhet	similarity
snarreva	quick tear
snarstuckenhet	snarkyness
snasker	snacks
snedaxlad	skewed
snedbelasta	biased
snedbelastning	skew load
snedficka	slant pocket
snedhalsad	crooked neck
snedhet	skewness
snedklaff	oblique flap
snedmynt	obverse coin
snedslag	oblique stroke
snedspark	oblique kick
snedstreck	slash
snedträff	misfire
snedtända	slanted
snedvriden	twisted
snett	crooked
snibbig	nimble
snibbkrage	snub collar
snickarbyxor	carpenter's trousers
snickarlim	carpenter's glue
snickarverkstad	carpentry workshop
snickarverktyg	carpentry tools
snickeriarbete	carpentry work
snickerifabrik	carpentry factory
sniffare	sniffer
sniffning	sniffing
snigla	snail
sniljefrotté	nice terry cloth
snilleverk	work of genius
snillrikhet	genius
snippa	snip
snirklad	squiggly
sniskan	the snitch
snitseljakt	paper chase
snitthastighet	average speed
snittlön	average salary
snittyta	cut surface
Snobben	Snoopy
snobbighet	snobbery
snofsigt	snowy
snopenhet	snooping unit
snorkla	snorkel
snorkling	snorkeling
snorkråka	snoring crow
snorre	snore
snowboardåkare	snowboarder
snowboardåkning	snowboarding
snubblig	stumbling
snubbor	dudes
snurrstol	swivel chair
snusare	snuffer
snusklitteratur	dirty literature
snusmalen	the snus mill
snuttefilt	snuff blanket
snuttifiering	cuttification
snyftfilm	sob movie
snyfthistoria	sob story
snyftvals	sob waltz
snygghet	handsomeness
snyltdjur	parasites
snytning	grooming
snålhet	stinginess
snäckdrev	worm drive
snäckformig	snail-shaped
snäcklinje	snail line
snällpress	kind press
snärjigt	slyly
snävhet	tightness
snöbetäckt	snow covered
snöbollschampinjon	snowball mushroom
snöbollseffekt	snowball effect
snöbollskastning	snowball throwing
snöbollskrig	snowball fight
snöfält	snow field
snöfästning	snow fortress
snöglasögon	snow goggles
snögrotta	snow cave
snöhinder	snow obstacle
snöhöljd	snow covered
snökaos	snow chaos
snökedjor	snow chains
snöleopard	snow leopard
Snömannen	The Snowman
snömassa	snow mass
snömängd	amount of snow
snöras	lace up
snörhål	eyelet
snörik	snowy
snörning	lacing
snörstump	string stump
snörvlig	snarky
snörvling	lacing
snörök	snowball
snösiska	snowshoe
snöskottare	snow shovel
snöskottning	snow shoveling
snöskovel	snow shovel
snöskydd	snow protection
snöskyffel	snow shovel
snösörja	slush
snötillgång	snow availability
snötjocka	snow thick
snötäckt	snow covered
snövessla	snow weasel
snövinter	snowy winter
snöväder	snowy weather
sobelpäls	sable fur
socialantropolog	social anthropologist
socialassistent	social worker
socialbidragstagare	social welfare recipient
socialbyrå	social agency
Socialdemokraterna	The Social Democrats
socialekonomisk	socioeconomic
socialförsäkringsminister	Minister of Social Insurance
socialförsäkringssystem	social insurance system
socialisering	socialization
socialjour	social security
socialkontor	social services office
socialkunskap	social studies
socialkurator	social worker
sociallagstiftning	social legislation
socialmedicinsk	social medicine
socialpedagog	social pedagogue
socialpedagogik	social pedagogy
socialpolitisk	social political
socialreform	social reform
Socialstyrelsen	The National Board of Health and Welfare
socialtjänstlagen	the Social Services Act
socialutskott	social committee
socialvetenskaplig	social science
socialvårdande	social welfare
socialvårdskonsulent	social care consultant
societetsdam	society lady
societetsskvaller	society gossip
sociolingvistisk	sociolinguistic
sociometri	sociometry
sockenbo	parishioner
sockenkyrka	parish church
sockenstuga	parish cottage
sockenstämma	parish meeting
sockerfabrik	sugar factory
sockerfattig	low sugar
sockerhalt	sugar content
sockerhaltig	sugary
sockerkaksform	sugar cookie form
sockerkaksmix	sugar cookie mix
sockerlösning	sugar solution
sockerplantage	sugar plantation
sockersaltad	sugar salted
sockerskrin	sugar box
sockertillverkning	sugar manufacture
sockervadd	candy-floss
sockerärt	sugar pea
sodasjö	soda lake
sodomit	bugger
soffhörn	sofa corner
soffkudde	sofa cushion
soffpotatis	couch potato
sofistik	sophistry
Sofokles	Sophocles
sojabönost	soybean cheese
solaltan	sun deck
solbana	solar path
solbelyst	sunlit
solblind	sun blind
solbrillor	sunglasses
solbrud	sun bride
soldatliv	soldier life
soldatmyra	soldier ant
soldatmässig	soldierly
soldatvisa	soldier song
soldäck	sun deck
solennitetssal	solemnity hall
soleruption	solar flare
solfjäderformig	fan-shaped
solfjädersformig	fan-shaped
solfjäderspalm	fan palm
solglimt	sun glint
solglitter	sun glitter
solgul	sun yellow
solhet	sunshine
solhetta	solar heat
solidarisera	solidarity
solidaritetsstrejk	solidarity strike
soliditetsbyrå	solidity agency
soliditetsupplysning	solvency information
solkraftverk	solar power plant
solkult	solar cult
solliv	solar life
solmättad	sun saturated
solodansör	solo dancer
solodansös	solo dancer
soloflygning	solo flight
soloframträdande	solo performance
solokonsert	solo concert
solonummer	solo number
solostämma	solo part
solosång	solo song
solosångare	solo singer
solosångerska	solo singer
solpanel	solar panel
solrosfrö	sunflower seed
solrosolja	sunflower oil
solrosskott	sunflower shoot
solsegel	sun sail
solskensdag	sunny day
solskenshistoria	sunshine story
solskenshumör	sunshine mood
solskydd	sunscreen
solskyddsfaktor	sun protection factor
solskyddskräm	sunscreen
solskärm	sunscreen
solspektrum	solar spectrum
solstift	sun stick
solstrålning	solar radiation
solsveda	sunburn
soltorkad	sun-dried
soluppvärmd	solar heated
solvarm	sunny
solvera	solve
somali	Somali
sommarferier	summer holidays
sommarflox	summer phlox
sommarförvara	summer storage
sommarförvaring	summer storage
sommarkappa	summer coat
sommarklädd	summer dressed
sommarklänning	summer dress
sommarkollektion	summer collection
sommarkostym	summer suit
sommarkurs	summer course
sommarkväll	summer evening
sommarlik	summery
sommarläger	summer camp
sommarmode	summer fashion
sommarmorgon	summer morning
sommarnatt	summer night
sommarolympiaden	summer olympics
sommar-OS	summer olympics
sommarrock	summer coat
sommarsko	summer shoe
sommarslöja	summer veil
sommarstängd	summer closed
sommarsäsong	summer season
sommarviva	summer viva
sommarväder	summer weather
sommarvärme	summer heat
sondballong	sounding balloon
sondering	probing
sondmata	tube feeding
sondraket	the probe
sopberg	garbage mountain
sopborste	dustpan brush
sopförbränning	waste incineration
sopgubbe	garbage man
sophink	trash can
sophämtare	dustman
sophämtning	garbage collection
sopkvast	besom
sopmaskin	sweeper
soppgryta	soup pot
soppkött	soup meat
soppsked	soup spoon
soppskål	soup bowl
soppspad	soup spoon
sopptallrik	soup plate
soppterrin	soup terrine
sopptärning	soup cube
sopranröst	soprano voice
sopsortera	sort garbage
sopsortering	waste sorting
sopstation	garbage station
sopugn	garbage disposal
sopåtervinning	garbage recycling
sorbos	sorbose
sordinpedal	sword pedal
sorgbunden	grief-stricken
sorgegudstjänst	funeral service
sorgeterapi	grief therapy
sorgfana	mourning flag
sorgfrihet	freedom from sorrow
sorgfritt	carefree
sorghatt	mourning hat
sorgmes	sorghum
sorgmusik	mourning music
sorgslöja	mourning veil
sorterad	sorted
sorteringsbord	sorting table
sorteringsfack	sorting tray
sorteringsmaskin	sorting machine
sorteringsprogram	sorting program
sorteringstrumma	sorting drum
sorträkning	sort counting
sotarmästare	sotar master
sotdagg	soot dew
sotflaga	soot flakes
sotfläck	soot stain
sotlucka	soot hatch
sotning	sweeping
sotsvart	sooty black
souterräng	souterrain
souterränghus	basement house
souvenirbutik	souvenir shop
souvenirjägare	souvenir hunter
sovalkov	sleeping alcove
sovdags	bedtime
Sovjetryssland	Soviet Russia
Sovjetunionen	Soviet Union
sovkupé	sleeping compartment
sovloft	sleeping loft
sovplats	sleeping place
sovplatsbiljett	sleeper ticket
sovring	sleeping
sovsal	dormitory
sovvagnsbiljett	sleeping car ticket
sovvagnskonduktör	sleeping car conductor
so-ämnen	so topics
spaderbud	spade bid
spaderdam	queen of spades
spaderess	Spaderess
spaderfemma	five of spades
spaderhacka	spade hoe
spaderknekt	jack of spades
spaderkort	spade card
spaderkung	king of spades
spaderäss	Ace of spades
spagettivästern	spaghetti western
spaghettiwestern	spaghetti western
spakna	lever
spakvatten	lever water
spaljerad	trellised
spaljéträd	trellis tree
spaltbredd	gap width
spaltkilometer	gap kilometer
spaltvis	columnwise
spaningsarbete	reconnaissance work
spaningsflyg	reconnaissance flight
spaningsflygplan	reconnaissance aircraft
spaningsledare	scout leader
spaningspatrull	reconnaissance patrol
spaningsplan	reconnaissance plan
spaningspådrag	reconnaissance mission
spaningssatellit	reconnaissance satellite
spannmålsexport	grain exports
spannmålshandel	grain trade
spannmålshandlare	grain merchant
spannmålsimport	grain imports
spannmålsmagasin	granary
spannmålsodlare	grain grower
spannmålsodling	grain cultivation
spannmålspris	grain price
spannvis	spanwise
Spanskamerika	Spanish America
spanskamerikansk	spanish american
Spanska ridskolan	Spanish riding school
spanskfödd	Spanish born
spanskgröna	spanish green
spansk-portugisisk	Spanish-Portuguese
spanskspråkig	Spanish speaking
spansktalande	Spanish speaking
sparande	saving
sparbanksbok	savings book
spariver	saves
sparkampanj	savings campaign
sparkapital	savings capital
sparkasseräkning	severance pay bill
sparklubb	savings club
sparkonto	savings account
sparlakansläxa	sparring homework
sparmedel	savings
sparobligation	savings bond
sparpaket	savings package
sparpengar	savings money
sparpropaganda	savings propaganda
sparrisburk	asparagus jar
sparrisknopp	asparagus bud
sparriskål	broccoli
sparrisomelett	asparagus omelette
sparsamhet	economy
sparsamhetsskäl	reasons of economy
sparsamhetssyfte	thrift purpose
spartanskt	spartan
spatsertur	walking tour
specerihandlare	grocer
specerivaror	groceries
specialartikel	special article
specialavtal	special agreement
specialbeställd	special order
specialbyggd	custom built
specialdesignad	specially designed
specialeffekter	special effects
specialerbjudande	special offer
specialförband	special dressing
specialgjord	custom made
specialiserad	specialized
specialisering	specialization
specialistläkare	specialist doctor
specialistofficer	specialist officer
specialistutbildning	specialist training
specialkompetens	special skills
specialkorrespondent	special correspondent
specialkunskap	special knowledge
specialkunskaper	special skills
specialtillverkad	specially manufactured
specialuppdrag	special assignment
specialutbildad	specially trained
specialutbildning	special education
specialändamål	special purpose
specificering	specification
specificitet	specificity
specifikum	specifics
spediera	forward
speditionsavgift	shipping fee
speditionsfirma	forwarding company
speditionsföretag	forwarding company
speedwaybana	speedway track
speedwayförare	speedway driver
spefylld	filled with
spegelboll	mirror ball
spegelbord	mirror table
spegeljärn	mirror iron
spegelklar	mirror clear
spegelram	mirror frame
spegelsal	hall of mirrors
spegelvägg	mirror wall
spegling	reflection
speglosa	mirrorless
spejande	Scouting
spektralfärg	spectral color
spektrofotometer	spectrophotometer
spektrogram	spectrogram
spektrometer	spectrometer
spektroskopisk	spectroscopic
spekulationsvinst	speculative profit
spelad	played
spelarbås	player booth
spelarköp	player purchase
spelartrupp	player squad
spelbank	gambling bank
spelberoende	gambling addiction
spelbricka	game tile
speldator	gaming computer
speleolog	speleologist
spelevinker	game tips
spelfördelare	game dealer
spelgalen	game crazy
spelglädje	joy of playing
spelhall	arcade
spelhelvete	game hell
spelkonsol	game console
spellektion	game lesson
spellista	playlist
spellärare	game teacher
spelläxa	game homework
spelmark	playground
spelminut	game minute
spelmotor	game engine
