Chinese	Taiwanese	Sort	English
平安蘸	pe5ng-an-chi3o	peng an chio	rites to ward off calamity and get prosperity
平安度日	pe5ng-an to7+-ji8t	peng an to+ jit	lead a peaceful life
兵馬	peng-be2	peng be	soldiers and their horses, troops
反面	pe2ng-bi7n	peng bin 01	turn over, invert, turn down
平面	pe5ng-bi7n	peng bin 02	plane, plane surface
平民	pe5ng-bi5n	peng bin 03	commoner, plebeian, common people, civilian
平民政治	pe5ng-bi5n che3ng-ti7	peng bin cheng ti	popular government, democracy
平面幾何	pe5ng-bi7n ki2-ho5	peng bin ki ho	plane geometry
平面鏡	pe5ng-bi7n-ki3a*	peng bin kia*	plane mirror
平面三角	pe5ng-bi7n sa*-kak	peng bin sa* kak	plane trigonometry
平面圖	pe5ng-bi7n-to5+	peng bin to+	floor plan, two dimensional plan
並無 ...	pe3ng bo5...	peng bo	there is really no..., not anything...
兵籍	peng-che8k	peng chek	military register
平靜	pe5ng-che7ng	peng cheng 02	calm, tranquility, serenity, calm, serene, tranquil, equable
冰清玉潔	peng-chheng gio8k-kiat	peng chheng giok kiat	incorruptible (said of one's character)
翻車	pe2ng-chhia	peng chhia	overturn car
並且	pe3ng-chhi2a*	peng chhia*	moreover, furthermore, and, in addition, to boot
翻正面睡	pe2ng-chhi3o	peng chhio	turn face up
平手	pe5ng-chhi2u	peng chhiu	tie another (in competition), come out with even scores
冰廠	peng-chhi2u*	peng chhiu*	ice plant
冰枕	peng-chi2m	peng chim 01	ice pillow
睡冰枕	::khu3n peng-chi2m	peng chim 01a	apply an ice pillow
兵種	peng-chio2ng	peng chiong	intra-service classification of military units according to their equipment and functions
併裝	pe7ng-chong	peng chong 01	assemble, put together
冰水	peng-chu2i	peng chui	ice water
翻船	pe2ng-chu5n	peng chun 01	overturn boat
兵卒	peng-chut	peng chut	soldiers
兵源	peng-go5an	peng goan 01	manpower as a source of conscription
平原	pe5ng-go5an	peng goan 02	plain, steppe
並行	pe3ng-he5ng	peng heng 01	go side by side, go abreast of, keep pace with, in parallel with, to walk abreast
平行	pe5ng-he5ng	peng heng 02	parallel, run parallel, on the same footing
平衡	pe5ng-he5ng	peng heng 03	balance, equilibrium, proportion, evenly balanced
平衡力	pe5ng-he5ng-le8k	peng heng lek	equilibrant
平行四邊行	pe5ng-he5ng si3-pi*-he5ng	peng heng si pi*	parallelogram
平行線	pe5ng-he5ng-so3a*	peng heng soa*	parallel lines
冰河	peng-ho5	peng ho 01	glacier
平和	pe5ng-ho5	peng ho 02	peace, harmony, peaceful, mild, harmonious, mildly
冰河時代	peng-ho5 si5-ta7i	peng ho si tai	glacial period, ice age
平反	pe5ng-ho2an	peng hoan 01	redress, rehabilitate (a mishandled case)
平凡	pe5ng-ho5an	peng hoan 02	common, ordinary, usual, not outstanding or remarkable
拼法	peng-hoat (pheng-hoat)	peng hoat 01	spelling
兵法	peng-hoat	peng hoat 02	military tactics and strategy
併發	pe3ng-hoat	peng hoat 03	begin, explode, erupt, attack at the same time, accompany another disease
併發症	pe3ng-hoat-che3ng	peng hoat cheng	complications (medical)
平服	pe5ng-ho8k	peng hok	subjugate, reduce to order, peaceful, steady, tranquil
平方	pe5ng-hong	peng hong 01	square (meter)
二英尺平方	::nn7g eng-chhioh pe5ng-hong	peng hong 01a	two feet square
平方英里	pe5ng-hong eng-li2	peng hong eng li	square miles
平方根	pe5ng-hong-kin	peng hong kin	square root
平分	pe5ng-hun	peng hun 02	divide equally, bisect, equinox
平分秋色	pe5ng-hun chhiu-sek	peng hun chhiu sek	two sides share (top honors, fame), equal each other in (achievement, scores)
平易近人	pe5ng-i7 ki7n-ji5n	peng i kin jin	easy to approach, easy to get along with (said of one's personality)
兵營	peng-ia5*	peng ia*	military camp, barracks
兵役	peng-ia8h	peng iah 01	military service
服兵役	::ho8k peng-ia8h	peng iah 01a	serve in the army
拼音	peng-im (pheng-im)	peng im	spell phonetically
朋友	pe5ng-iu2	peng iu	friends
平原	pe5ng-iu5* (pe5*-iu5*)	peng iu* 01	vast level plain
虎落平原被犬欺。	::Ho2+ lo8h pe5ng-iu5* pi7 khia2n khi.	peng iu* 01a	tiger once out of his natural environment may be bullied even by a dog. ─ A hero or brave man is bullied by a bunch of weaklings when he is down on his luck
查字典	pe2ng ji7-tia2n	peng ji tian	look it up in the dictionary
平日	pe5ng-ji8t	peng jit	usually, daily, ordinarily, constantly, commonly, on usual days
平日彌撒	pe5ng-ji8t Mi5-sat	peng jit mi sat	Daily Mass (Catholic)
兵家	peng-ka	peng ka	person specialized in military operations, military strategist
伏臥	pe2ng-ka-la2n-phak	peng ka lan phak	sleep on one's stomach
冰塊	peng-kak	peng kak 01	ice cube, lumps of ice
平角	pe5ng-kak	peng kak 02	straight angle (math)
兵工廠	peng-kang-chhi2u*	peng kang chhiu*	arsenal
平交道	pe5ng-kau-to7	peng kau to	level crossing, the intersection between a railroad and a roadway, grade crossing
平價	pe5ng-ke3	peng ke	fair price, par
平劇	Pe5ng-ke8k	peng kek 02	Peking opera
翻反面	pe2ng-khap	peng khap	invert (a bowl), turn upside down
兵器	peng-khi3	peng khi	military weapons, arms
出爾反爾 ,時好時壞	pe2ng-khi2-pe2ng-to2	peng khi peng 01	shilly-shally, sometime good sometime bad
他的病時好時壞 ,不知會好否?	::I e5 pe7* pe2ng-khi2-pe2ng-to2, m7-chai e7 ho2 a2 be7?	peng khi peng 01a	His sickness is sometimes better and sometimes worst, don't know if he will regain his health or not?
冰橇	peng-khiau	peng khiau	ice sledge
併科罰金	pe7ng-kho-hoa8t-kim	peng kho hoat kim	fine, forfeit
冰庫	peng-kho3+	peng kho+	ice box
冰淇淋	peng-ki-li5n	peng ki lin	ice cream
並肩而行	pe3ng-kian ji5 he5ng	peng kian ji heng	walk abreast
平均	pe5ng-kin (pe5ng-kun)	peng kin 01	an average, find the average, on an average
他平均一天工作六小時。	::I chi8t ji8t pe5ng-kin cho3 la8k tia2m-cheng.	peng kin 01a	He works six hours a day on the average.
不平均	::bo5 pe5ng-kin	peng kin 01c	unbalanced
平均看看	::pe5ng-kin kho3a*-ba7i le3	peng kin 01d	find out the average
平均	pe5ng-kin-chhe2	peng kin chhe	on an average
平均壽命	pe5ng-kin ho3e-si7u	peng kin hoe siu	life expectancy
平均計算	pe5ng-kin ke3-so3an	peng kin ke soan	general average, on the average
平均數	peng-kin-so3+	peng kin so+	the mean, average, average number
平均速度	pe5ng-kin sok-to7+	peng kin sok to+	average speed, mean velocity
平均地權	pe5ng-kin te7-ko5an	peng kin te koan	equalization of land rights (envisaged by Dr Sun Yat-sen, with a three-fold measure ─ purchase of private land at the values declared, levy of land tax at the land value assessed and government takeover of increment of land value)
平劇	pe5ng-kio8k (pe5ng-ke8k)	peng kiok	Beijing Opera, Peking Opera, Chinese Opera
蘋果	pe5ng-ko2 (li2n-go3)	peng ko	apples
冰果室	peng-ko2-sek	peng ko sek	ice store
兵權	peng-ko5an	peng koan	authority to make military decisions
翻過去	pe2ng-ko3e	peng koe	turn upside down
秉公處理	pe2ng-kong chhu2-li2	peng kong pan li	act strictly according to official procedures or rules
翻來翻去	pe2ng-la5i pe2ng-khi3	peng lai peng khi	say yes and no at different times, saying contradictory things to different men or at different times, now one thing, now another
兵力	peng-le8k	peng lek	military strength, military force
冰冷	peng-le2ng	peng leng	icy cold, cold as ice
翻觔斗	pe2ng-lia3n-ka2u-a2	peng lian kau a	turn a somersault
翻過來	pe2ng-lia3n-tn2g	peng lian tng	invert, turn upside down, turn over (in bed)
平亂	pe5ng-lo7an	peng loan 02	suppress a rebellion, revolt
並不是	pe3ng m7-si7	peng m si	be not, not by any means
兵糧	peng-ni5u	peng niu	soldiers' rations
嘔吐 ,反胃	pe2ng-pak (pak-pe2ng)	peng pak 01	upset stomach, going to vomit
那種味兒我聞到快要嘔吐。	::Hit kho2an bi7 go2a phi7*-tio8h gio7ng boeh pe2ng-pak.	peng pak 01a	When I smell that kind of odor it turns my stomach.
翻肚 ,翻白	pe2ng-pe8h (pe2ng-to7+)	peng peh 01	fish dies (Lit. a fish goes belly up)
魚池的水一髒 ,魚都翻肚了。	::Hi5-ti5 chi8t-e7 lah-sap, hi5-a2 lo2ng pe2ng-pe8h.	peng peh 01a	If a fish tank gets dirty all the fish die.
眼珠翻白 ,形容沒希望	pe2ng-pe8h-ka5i*	peng peh kai*	whites of one's eyes showing as from death, in pain or disappointment
翻轉 ,翻面	pe2ng-pe5ng	peng peng 01	turn inside out, turn upside down
平平 ,馬馬虎虎	pe5ng-pe5ng	peng peng 02	very so-so (in answer to a question as to one's health)
翻反面 ,伏臥	pe2ng-phak	peng phak 01	upset, to invert with mouth down, to turn on the face or belly
伏臥	::pe2ng-phak khu3n	peng phak 01a	sleep on one's stomach
冰雹	peng-phau8h	peng phauh	hail (storm)
變通營生	pe2ng-pi3*	peng pi*	find some new way of living when the old way fails, do what one can to earn a living
兵變	peng-pia3n	peng pian	mutiny, troops in mutiny
硼砂	pe5ng-se	peng se	borax from Tibet, borax power
平息	pe5ng-sek	peng sek	come to an end (e.g. an uprising), to cause to stop
平息風浪	pe5ng-sek hong-lo7ng	peng sek hong long	quiet the strong wind and waves
平生	pe5ng-seng	peng seng	usually, ordinarily, during one's whole past life, in all one's life, throughout one's life, life long
平時	pe5ng-si5	peng si	at ordinary times, usually, in time of peace, ordinarily
平信	pe5ng-si3n	peng sin	ordinary mail
平常	pe5ng-sio5ng	peng siong	usually, ordinarily, at ordinary times, always, daily, commonly, constantly, normal, usual, as usual
冰箱	peng-siu*	peng siu*	ice box, refrigerator
冰山	peng-soa*	peng soa*	iceberg
兵書	peng-su	peng su 01	books on tactics, book on military strategy
兵士	peng-su7	peng su 02	soldier, foot soldier
平順	pe5ng-su7n	peng sun	smooth and orderly
平台	pe5ng-ta5i	peng tai	flat-top building, stadium-like building, balcony, open porch, portico
冰袋	peng-te7	peng te	ice-bag
平定	pe5ng-te7ng	peng teng 01	subjugate, conquer, quell, to arrive at a just settlement, settled
平等	pe5ng-te2ng	peng teng 02	equality, of equal rank, equal, even, equally, evenly
平等互惠	pe5ng-te2ng ho7+-hu7i	peng teng ho+ hui	reciprocal favored treatment
平等待遇	pe5ng-te2ng tha7i-gu7	peng teng thai gu	equal treatment
翻身伏臥	pe2ng-tha2n-phak (khap)	peng than phak	to upset, invert with mouth down
平天下	pe5ng thian-ha7	peng thian ha	tranquilize the empire
冰天雪地	peng-thian soat-te7	peng thian soat te	land of ice and snow, a frozen land
冰糖	peng-thn5g	peng thng	crystallized sugar, crystal sugar in lumps of irregular size and shape
兵團	peng-tho5an	peng thoan	regulars and militia
併吞	pe3ng-thun	peng thun	swallow up entirely
冰點	peng-tia2m	peng tiam 01	freezing point, zero
冰店	peng-tia3m	peng tiam 02	ice shop
翻倒	pe2ng-to2	peng to	turn upside down
翻過來	pe2ng-to3-tn2g	peng to tng	turn upside down or wrong side up, to invert, turn back into original position
冰島	Peng-to2+	peng to+ 01	Iceland
翻肚	pe2ng-to7+ (pe2ng-pe8h)	peng to+ 02	fish dies, fish goes belly up
拼圖	peng-to5+ (pheng-to5+)	peng to+ 03	jigsaw puzzle
翻桌子表示憤怒反抗	pe2ng-toh	peng toh	turn table upside down to express one's anger
冰凍	peng-to3ng	peng tong	frozen hard, to freeze
平穩	pe5ng-u2n	peng un	calm, quiet, tranquil, steady and smooth (bus ride, driving)
拋	pha (phau)	pha 01	throw, throw away, to cast, to abandon, to eject, give up
葩 ,束 ,盞 ,撮 ,串	pha	pha 02	corolla of a flower, bunch of flowers, bunch of fruit, classifier for tails, queues, flames and lights etc
一撮尾毛	::chi8t pha bo2e	pha 02a	large tail of an animal
一束花	::chi8t pha hoe	pha 02b	bunch of flowers
二盞燈	::nn7g pha ho2e	pha 02c	two lamps burning
泡 ,皰	pha7	pha 03	bubble, blister
水泡	::chu2i-pha7	pha 03a	bubbles on water, blister
起泡	::pho3ng-pha7	pha 03b	rise in blisters
起泡	::puh-pha7	pha 03c	rise in blisters
燙起泡	::thn3g pho3ng-pha7	pha 03d	scalded and blistered
才幹	pha7	pha 04	capacity, skill, ability
有才幹 ,有辦法	::u7 pha7	pha 04a	very capable, very skilful
撒網	pha-ba7ng	pha bang	net, throw or cast a fishing net
翻觔斗	pha-chhia-lin (pha-li3n-ta2u)	pha chhia lin	somersault, turn a somersault
灑網捕魚	pha-hi5	pha hi	fish by casting the net into the water
荒廢 ,荒蕪	pha-hng	pha hng	be laid waste, go to ruin (decay)
翻來覆去 ,輾轉難眠	pha-la5i pha-khi3	pha lai pha khi	toss about in one's sleep
到處跑	pha-pha-cha2u	pha pha chau	go about idly (like a truant boy or idle fellow spending money on low amusements), leave one's master's work for amusement or for one's own business
拋錨 ,下碇	pha-ti3a*	pha tia*	cast anchor
藤蔓延	pha-ti5n	pha tin	spread out suckers or trailing shoots
怕	pha3* (kia*)	pha* 01	fear, to dread, be afraid of, apprehend, maybe, perhaps
真金不怕火	::Chin-kim put-pha3* ho2e.	pha* 01a	Real gold fears not fire
人怕老 ,債怕討	::Ji5n pha3*-lo2, che3 pha3* tho2.	pha* 01b	Men fear old age, debtors fear the demand for payment
懼怕	::khu7-pha3*	pha* 01c	fear greatly
不怕死	::put pha3* su2	pha* 01d	fears not death
稀鬆 ,鬆脆 ,不實	pha3*	pha* 02	not solid, porous, puffy, soft and light, spongy, bland
空洞稀鬆	::khang-pha3*	pha* 02a	empty, hollow
鬆硬	::te7ng-pha3*	pha* 02b	solid and soft
大粒脆花生	::to7a-pha3*-ta7u	pha* 02c	large soft earthnuts
流線 ,帥 ,罩馬子	pha7*	pha* 03	streamlined, dapper, chic (slang)
他今天穿得很帥。	::I kin-na2-ji8t chhe7ng kah chin pha7*.	pha* 03a	He looks very dapper today.
很會罩馬子。	::Chin ga5u pha7* cha-bo2+ gi2n-na2.	pha* 03b	have a way with the ladies
脆木	pha3*-chha5	pha* chha	soft or porous wood
無米粒的稻榖	pha3*-chhek	pha* chhek	defective rice, unsold rice, empty rice chaff
大方	pha3*-chhi2u	pha* chhiu	generous, elegant and composed in good taste
鬆石頭 ,多孔石	pha3*-chio8h	pha* chioh	porous type of stone
無精蛋	pha3*-nn7g	pha* nng	empty egg, sterile egg, barren
不結實	pha3*-pha3*	pha* pha*	soft fruit (nothing in middle)
空心	pha3*-sim	pha* sim	devoid of content, hollow, nothing in mind
怕事	pha3*-su7	pha* su	lukewarm, passive, timid, take no initiative, lack enthusiasm, nervous of what might happen
稀鬆地	pha3*-te7	pha* te	sandy soil
打 ,拍	phah (ta2*)	phah 01	strike, to beat, to hit, smash, to attack, to fight, to knock, to play, to shoot, to cause (use as an auxiliary), copulate, to mate
打架	::sio-phah	phah 01a	fight with fists, to fight (birds, fowls)
鬥雞	::sio-phah-ke	phah 01b	fighting cock, said of man seeking a quarrel
打暗號	phah a3m-ho7	phah am ho	give a pre-arranged signal, give a cue
打網球	phah ba7ng-ki5u	phah bang kiu	play tennis
拍賣	phah-be7	phah be	sell by auction, auction
打不開	phah be7 khui	phah be khui	cannot be opened, try in vain to open
打不死	phah be7 si2	phah be si	still alive after a hard beating, try in vain to beat to death, invulnerable
打不通	phah be7 thong	phah be thong 01	can't get through
電話打不通	::tia7n-oe7 phah be7 thong	phah be thong 01a	can't get through by phone
失掉 ,遺失	phah bo5-khi3	phah bo khi	lose, make something vanish
沒打中	phah bo5-tio8h	phah bo tioh	failed to hit an object
打模型	phah-bo5+	phah bo+	mould, make a model of
打老婆者如禽獸	phah bo2+ ti-ka2u-gu5	phah bo+ ti kau gu	man beat his wife be like a beast
刻墓碑	phah bo7ng-pa5i	phah bong pai	engrave a tomb stone
打跑了 ,打走了	phah cha2u-khi3	phah chau khi	drive away, put to flight
造菜圃種菜	phah chha3i-ko2+	phah chhai ko+	make the slightly higher ridges in a vegetable garden for planting vegetables
製草蓆	phah chha2u-chhio8h	phah chhau chhioh	to weave a straw mat
製草鞋	phah chha2u-e5	phah chhau e	made straw sandals
打草驚蛇	phah chha2u kia* cho5a	phah chhau kia* choa	beat the grass and startle the snake ─ frighten out of cover, cause undesired agitation
打叉	phah-chhe-a2	phah chhe a	mark with a diagonal cross (x)
生吃 (蔬菜 ,海鮮等 )	phah-chhe*	phah chhe* 01	eat raw (vegetables, seafood)
吵醒	phah-chhe2*	phah chhe* 02	awaken a person unintentionally
驚嚇到	phah chhe*-kia*	phah chhe* kia*	frighten people, startle, to scare
不吉的話	phah-chhek-soe (phah-tek-soe)	phah chhek soe	unlucky words
打鎗	phah-chhe3ng	phah chheng	fire a gun
拍手	phah-chhi2u	phah chhiu 01	clap the hands
打手	phah-chhi2u	phah chhiu 02	thugs hired by men of wealth or power, bouncers, bodyguard, a chucker
手淫	phah-chhi2u-chhe3ng	phah chhiu chheng	masturbate
打碎	phah-chhu3i	phah chhui	smash, break into pieces
聊天	phah chhu3i-ko2+	phah chhui ko+ 01	talk about unimportant matters, engage in idle talk
跟他聊天	::kap i phah chhu3i-ko2+	phah chhui ko+ 01a	hold an idle conversation with him
被淘汰 ,不中用之人	phah-chhut-la2ng(tha2ng)-go7a	phah chhut lang goa	be eliminated from the basket (e.g., rotten fruit) ─ omit, be left out, count for nothing
打折	phah-chiat	phah chiat	discount, reduce, minimize
打鳥	phah-chia2u-a2	phah chiau a	hunt, shoot birds
打斷	phah-chi8h (phah-tn7g)	phah chih	fracture, break something flexible, to snap, break off
鑿石	phah-chio8h	phah chioh	cut, carve stone, to work in stone, quarrying, cutting, drill a stone
石匠	phah-chio8h-e5	phah chioh e	stone mason
想法子讓他受罪	phah chi8t ki ho7+ i ka3u	phah chit ki	lay down a card (a piece) in order to make him win, to get a person into trouble
打嗝	phah-eh (phah-e8h)	phah eh	belch
打壞	phah-ha7i	phah hai	spoil, to break, destroy, demolish, to smash, to damage, put out of order, to ruin, injure (one's health)
受精 ,交配	phah-he5ng	phah heng	mating, a service, to mate, copulate, to pair
拍胸脯 ,保證	phah heng-kha2m	phah heng kham	pound one's chest (to show confidence, defiance, acceptance of a challenge or responsibility)
打虎捉賊須靠親兄弟。	phah-ho2+ lia8h-chha8t ia7 tio8h chhin hia*-ti7.	phah ho+ liah chhat	strike a tiger, to catch a thief, you should have your own brother to help you In emergencies only a brother will help
打熄 ,熄滅	phah-hoa	phah hoa	put out the fire (with an extinguisher or water)
打火 ,滅火	phah-ho2e	phah hoe	extinguish a fire, put out a fire, beat out a fire
打分數	phah hun-so3+	phah hun so+	grade (student papers), to grade (performance)
打贏	phah-ia5*	phah ia*	win in a combat or fight, win (a game), conquer, gain the victory
打字	phah-ji7	phah ji	typewrite, to type, do typing work
打字機	phah-ji7-ki	phah ji ki	typewriter
打字員	phah-ji7-oa5n	phah ji oan	typist
遺失 ,弄丟	phah-ka-lau8h	phah ka lauh	demolish, lose, let fall
小產 ,流產	phah-ka-lau8h-sin	phah ka lauh sin	cause a miscarriage
弄丟 ,弄散 ,小氣鬼	phah-ka-soa	phah ka soa	lose, scatter, penny pincher
打結	phah-kat	phah kat 01	knot, tie a knot
打活結	::phah oa8h-kat	phah kat 01a	tie a slip knot
打死結	::phah si2-kat	phah kat 01b	tie a square knot
纏在一起	phah-kat-khi5u	phah kat kiu	all tangled
打狗看主人	phah ka2u kho3a* chu2-la5ng	phah kau khoa*	forgive someone for the sake of a related person (Lit. Consider its master before beating a dog.)
打噴嚏	phah-kha-chhi3u*	phah kha chhiu*	sneeze, sneezing
打洞 ,穿孔	phah-khang	phah khang	make a hole, pierce, drill a hole
